institution_name,country,region,subject_area,topics,impact_score,intl_collab_score,strategic_region_score
University of Malaya,Malaysia,APAC,Computer Science,ai;machine learning;robotics,78,65,80
KAIST,South Korea,APAC,Computer Science,ai;robotics;semiconductors,92,88,75
University of Melbourne,Australia,APAC,Computer Science,data science;ai;health informatics,89,82,70
National University of Singapore,Singapore,APAC,Computer Science,ai;machine learning;computer vision,94,91,72
University of Tokyo,Japan,APAC,Computer Science,robotics;ai;autonomous systems,91,84,73
Tsinghua University,China,APAC,Computer Science,ai;data science;machine learning,95,90,70
Imperial College London,UK,Europe,Computer Science,ai;robotics;systems engineering,94,89,65
ETH Zurich,Switzerland,Europe,Computer Science,robotics;control systems;ai,96,92,65
MIT,USA,North America,Computer Science,ai;robotics;machine learning,98,95,60
Stanford University,USA,North America,Computer Science,ai;data science;machine learning,97,94,60
University of Toronto,Canada,North America,Computer Science,ai;machine learning;deep learning,95,92,60
Technical University of Munich,Germany,Europe,Computer Science,ai;robotics;control systems,93,88,65
Seoul National University,South Korea,APAC,Computer Science,ai;robotics;data science,90,87,75
University of Sydney,Australia,APAC,Computer Science,ai;data science;robotics,88,83,70
Nanyang Technological University,Singapore,APAC,Computer Science,ai;robotics;machine learning,93,90,72
